Lemma,Sense,SuperSense,POS_Tag,Definition,Head,HeadAmod,Gender,Examples
abecedarian,abecedarian.n.01,noun.person,n,a novice learning the rudiments of some subject,novice,,,[]
aberrant,aberrant.n.01,noun.person,n,one whose behavior departs substantially from the norm of a group,one,,,[]
abkhaz,abkhaz.n.01,noun.person,n,a member of the Circassian people who live to the east of the Black Sea,member,,,[]
abkhazian,abkhaz.n.01,noun.person,n,a member of the Circassian people who live to the east of the Black Sea,member,,,[]
abnaki,abnaki.n.01,noun.person,n,a member of the Algonquian people of Maine and southern Quebec,member,,,[]
aboriginal,aborigine.n.02,noun.person,n,a dark-skinned member of a race of people living in Australia when Europeans arrived,member,,,[]
aboriginal,native.n.01,noun.person,n,an indigenous person who was born in a particular place,person,,,"['the art of the natives of the northwest coast', 'the Canadian government scrapped plans to tax the grants to aboriginal college students']"
absolutist,absolutist.n.01,noun.person,n,one who advocates absolutism,one,,,[]
abstinent,abstainer.n.02,noun.person,n,a person who refrains from drinking intoxicating beverages,person,,,[]
abstractionist,abstractionist.n.01,noun.person,n,a painter of abstract pictures,painter,,,[]
academic,academician.n.03,noun.person,n,an educator who works at a college or university,educator,,,[]
accessary,accessory.n.03,noun.person,n,someone who helps another person commit a crime,someone,,,[]
accessory,accessory.n.03,noun.person,n,someone who helps another person commit a crime,someone,,,[]
ace,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,someone,,,[]
achaean,achaean.n.01,noun.person,n,a member of one of four linguistic divisions of the prehistoric Greeks,member,,,[]
active,active.n.03,noun.person,n,a person who is a participating member of an organization,person,,,"['the club issues a list of members, both the actives and the retirees']"
activist,militant.n.01,noun.person,n,a militant reformer,reformer,,,[]
adept,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,someone,,,[]
adherent,disciple.n.01,noun.person,n,someone who believes and helps to spread the doctrine of another,someone,,,[]
adjunct,adjunct.n.02,noun.person,n,a person who is an assistant or subordinate to another,person,,,[]
adolescent,adolescent.n.01,noun.person,n,a juvenile between the onset of puberty and maturity,juvenile,,,[]
adult,adult.n.01,noun.person,n,a fully developed person from maturity onward,person,,,[]
aeolian,aeolian.n.01,noun.person,n,a member of one of four linguistic divisions of the prehistoric Greeks,member,,,[]
affine,affine.n.01,noun.person,n,(anthropology) kin by marriage,kin,,,[]
affluent,affluent.n.01,noun.person,n,an affluent person; a person who is financially well off,person,,,['the so-called emerging affluents']
afghan,afghan.n.02,noun.person,n,a native or inhabitant of Afghanistan,a,,,[]
afghanistani,afghan.n.02,noun.person,n,a native or inhabitant of Afghanistan,a,,,[]
african,african.n.01,noun.person,n,a native or inhabitant of Africa,a,,,[]
african-american,african-american.n.01,noun.person,n,an American whose ancestors were born in Africa,American,,,[]
afrikaner,afrikaner.n.01,noun.person,n,a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans,native,,,[]
afro-american,african-american.n.01,noun.person,n,an American whose ancestors were born in Africa,American,,,[]
agnate,agnate.n.01,noun.person,n,one related on the father's side,one,,,[]
agnostic,agnostic.n.01,noun.person,n,someone who is doubtful or noncommittal about something,someone,,,[]
agnostic,agnostic.n.02,noun.person,n,a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist),person,,,[]
alaskan,alaskan.n.01,noun.person,n,a native or resident of Alaska,a,,,[]
albanian,albanian.n.01,noun.person,n,a native or inhabitant of Albania,a,,,[]
alcoholic,alcoholic.n.01,noun.person,n,a person who drinks alcohol to excess habitually,person,,,[]
aleutian,aleut.n.01,noun.person,n,a member of the people inhabiting the Aleutian Islands and southwestern Alaska,member,,,[]
alexandrian,alexandrian.n.01,noun.person,n,a resident or native of Alexandria (especially Alexandria in Egypt),resident,,,[]
alexic,alexic.n.01,noun.person,n,a person with alexia,person,,,[]
algerian,algerian.n.01,noun.person,n,a native or inhabitant of Algeria,a,,,[]
algonkian,algonkian.n.01,noun.person,n,a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec,member,,,[]
algonquian,algonquian.n.01,noun.person,n,a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast,member,,,[]
algonquin,algonquian.n.01,noun.person,n,a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast,member,,,[]
alien,foreigner.n.01,noun.person,n,a person who comes from a foreign country; someone who does not owe allegiance to your country,person,,,[]
alien,stranger.n.01,noun.person,n,anyone who does not belong in the environment in which they are found,anyone,,,[]
alien,extraterrestrial_being.n.01,noun.person,n,a form of life assumed to exist outside the Earth or its atmosphere,assumed,,,[]
almighty,godhead.n.01,noun.person,n,terms referring to the Judeo-Christian God,terms,,,[]
alsatian,alsatian.n.01,noun.person,n,a native or inhabitant of Alsace,a,,,[]
altaic,altaic.n.01,noun.person,n,any member of the peoples speaking a language in the Altaic language group,member,,,[]
alternate,surrogate.n.01,noun.person,n,someone who takes the place of another person,someone,,,[]
