Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
abecedarian,abecedarian.n.01,noun.person,n,a novice learning the rudiments of some subject,[],,,N
aberrant,aberrant.n.01,noun.person,n,one whose behavior departs substantially from the norm of a group,[],one,,N
abkhaz,abkhaz.n.01,noun.person,n,a member of the Circassian people who live to the east of the Black Sea,[],member,,N
abkhazian,abkhaz.n.01,noun.person,n,a member of the Circassian people who live to the east of the Black Sea,[],member,,N
abnaki,abnaki.n.01,noun.person,n,a member of the Algonquian people of Maine and southern Quebec,[],member,,N
aboriginal,aborigine.n.02,noun.person,n,a dark-skinned member of a race of people living in Australia when Europeans arrived,[],member,,N
aboriginal,native.n.01,noun.person,n,an indigenous person who was born in a particular place,"['the art of the natives of the northwest coast', 'the Canadian government scrapped plans to tax the grants to aboriginal college students']",person,,N
absolutist,absolutist.n.01,noun.person,n,one who advocates absolutism,[],one,,N
abstinent,abstainer.n.02,noun.person,n,a person who refrains from drinking intoxicating beverages,[],person,,N
abstractionist,abstractionist.n.01,noun.person,n,a painter of abstract pictures,[],,,N
academic,academician.n.03,noun.person,n,an educator who works at a college or university,[],,,N
accessary,accessory.n.03,noun.person,n,someone who helps another person commit a crime,[],someone,,N
accessory,accessory.n.03,noun.person,n,someone who helps another person commit a crime,[],someone,,N
ace,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,[],someone,,N
achaean,achaean.n.01,noun.person,n,a member of one of four linguistic divisions of the prehistoric Greeks,[],member,,N
active,active.n.03,noun.person,n,a person who is a participating member of an organization,"['the club issues a list of members, both the actives and the retirees']",person,,N
activist,militant.n.01,noun.person,n,a militant reformer,[],,,N
adept,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,[],someone,,N
adherent,disciple.n.01,noun.person,n,someone who believes and helps to spread the doctrine of another,[],someone,,N
adjunct,adjunct.n.02,noun.person,n,a person who is an assistant or subordinate to another,[],person,,N
adolescent,adolescent.n.01,noun.person,n,a juvenile between the onset of puberty and maturity,[],,,N
adult,adult.n.01,noun.person,n,a fully developed person from maturity onward,[],person,,N
aeolian,aeolian.n.01,noun.person,n,a member of one of four linguistic divisions of the prehistoric Greeks,[],member,,N
affine,affine.n.01,noun.person,n,(anthropology) kin by marriage,[],,,N
affluent,affluent.n.01,noun.person,n,an affluent person; a person who is financially well off,['the so-called emerging affluents'],person,,N
afghan,afghan.n.02,noun.person,n,a native or inhabitant of Afghanistan,[],,,
afghanistani,afghan.n.02,noun.person,n,a native or inhabitant of Afghanistan,[],,,
african,african.n.01,noun.person,n,a native or inhabitant of Africa,[],,,
african-american,african-american.n.01,noun.person,n,an American whose ancestors were born in Africa,[],,,
afrikaner,afrikaner.n.01,noun.person,n,a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans,[],,,N
afro-american,african-american.n.01,noun.person,n,an American whose ancestors were born in Africa,[],,,
agnate,agnate.n.01,noun.person,n,one related on the father's side,[],one,,N
agnostic,agnostic.n.01,noun.person,n,someone who is doubtful or noncommittal about something,[],someone,,N
agnostic,agnostic.n.02,noun.person,n,a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist),[],person,,N
alaskan,alaskan.n.01,noun.person,n,a native or resident of Alaska,[],,,
albanian,albanian.n.01,noun.person,n,a native or inhabitant of Albania,[],,,
alcoholic,alcoholic.n.01,noun.person,n,a person who drinks alcohol to excess habitually,[],person,,N
aleutian,aleut.n.01,noun.person,n,a member of the people inhabiting the Aleutian Islands and southwestern Alaska,[],member,,N
alexandrian,alexandrian.n.01,noun.person,n,a resident or native of Alexandria (especially Alexandria in Egypt),[],,,N
alexic,alexic.n.01,noun.person,n,a person with alexia,[],person,,N
algerian,algerian.n.01,noun.person,n,a native or inhabitant of Algeria,[],,,
algonkian,algonkian.n.01,noun.person,n,a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec,[],member,,N
